1;2;3;4;5;6;7;8
;Sporti TXI 15W40 1L;595405083BD;VARTA;;;1;2173.95
;TM 75w80 1L;0 001 108 203;+AE+;;;0;3802.85
;TM 80w90 1L;0 001 109 324;TTTT;;;4;3659.05
;Tranself NFJ 75W80 1L (полусинтетика);0 001 121 408;BOSCH;;;0;3543.06
;Tranself NFP 75W80 1L (синтетика);0 001 123 012;BOSCH;;;0;4753.81
;Turbo DieseI 10W40 5L;0 001 125 031;BOSCH;;;0;4044.24
;Turbo Diesel 10W40 1L;0 001 125 042;BOSCH;;;0;3954.64
;WX45;0 001 125 519;;;;0;4499.62
;Амортизатор багажника Avensis 97->;0 001 138 001;BOSCH;;;0;3400.67
;Амортизатор багажника Berlingo/Partner;0 001 152 410;BOSCH;;;0;6139.36
;Амортизатор багажника C4/307;0 001 231 033;BOSCH;;;0;12421.31
;Амортизатор багажника Kangoo;0 092 M4F 290;BOSCH;;;0;639.38
;Амортизатор багажника R19;0 092 M4F 300;BOSCH;;;0;654.83
;Tranself NFJ 75W80 1L (полусинтетика);0 092 M4F 340;BOSCH;;;0;796.14
;Tranself NFP 75W80 1L (синтетика);0 092 M4F 360;BOSCH;;;1;755.40
;Turbo DieseI 10W40 5L;0 092 M4F 410;BOSCH;;;1;1087.06
;Turbo Diesel 10W40 1L;0 092 M4F 450;BOSCH;;;1;1294.79
;WX45;0 092 M4F 510;BOSCH;;;1;1351.54
;Sporti TXI 15W40 1L;0 092 M4F 520;BOSCH;;;1;1405.98
;TM 75w80 1L;0 092 M60 040;BOSCH;;;1;657.53
